timeStamp,,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1.70E+12,B,1148,https://www.aliexpress.com/,200,OK,Users: 1-1,text,TRUE,,44401,687,6,6,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,984,UTF-8,1,0,DESKTOP-2QTKDAK,0,455
1.70E+12,B,1042,https://www.aliexpress.com/,200,OK,Users: 1-2,text,TRUE,,44408,687,7,7,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,901,UTF-8,1,0,DESKTOP-2QTKDAK,0,435
1.70E+12,B,1477,https://www.aliexpress.com/,200,OK,Users: 1-3,text,TRUE,,44408,687,10,10,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,1001,UTF-8,1,0,DESKTOP-2QTKDAK,0,447
1.70E+12,B,1286,https://www.aliexpress.com/,200,OK,Users: 1-4,text,TRUE,,42975,687,10,10,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,715,UTF-8,1,0,DESKTOP-2QTKDAK,0,499
1.70E+12,B,1087,https://www.aliexpress.com/,200,OK,Users: 1-5,text,TRUE,,43013,687,10,10,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,719,UTF-8,1,0,DESKTOP-2QTKDAK,0,435
1.70E+12,B,1006,https://www.aliexpress.com/,200,OK,Users: 1-6,text,TRUE,,42976,687,11,11,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,894,UTF-8,1,0,DESKTOP-2QTKDAK,0,435
1.70E+12,A,867,https://www.aliexpress.com/,200,OK,Users: 1-8,text,TRUE,,42975,687,12,12,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,675,UTF-8,1,0,DESKTOP-2QTKDAK,0,487
1.70E+12,A,963,https://www.aliexpress.com/,200,OK,Users: 1-10,text,TRUE,,42975,687,14,14,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,667,UTF-8,1,0,DESKTOP-2QTKDAK,0,401
1.70E+12,B,1184,https://www.aliexpress.com/,200,OK,Users: 1-11,text,TRUE,,43135,687,16,16,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,965,UTF-8,1,0,DESKTOP-2QTKDAK,0,556
1.70E+12,B,2002,https://www.aliexpress.com/,200,OK,Users: 1-7,text,TRUE,,43187,687,17,17,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,1841,UTF-8,1,0,DESKTOP-2QTKDAK,0,1672
1.70E+12,B,1015,https://www.aliexpress.com/,200,OK,Users: 1-12,text,TRUE,,43276,687,17,17,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,844,UTF-8,1,0,DESKTOP-2QTKDAK,0,675
1.70E+12,A,780,https://www.aliexpress.com/,200,OK,Users: 1-14,text,TRUE,,43069,687,17,17,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,595,UTF-8,1,0,DESKTOP-2QTKDAK,0,412
1.70E+12,A,838,https://www.aliexpress.com/,200,OK,Users: 1-15,text,TRUE,,42977,687,19,19,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,804,UTF-8,1,0,DESKTOP-2QTKDAK,0,446
1.70E+12,A,805,https://www.aliexpress.com/,200,OK,Users: 1-16,text,TRUE,,42977,687,20,20,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,643,UTF-8,1,0,DESKTOP-2QTKDAK,0,416
1.70E+12,B,2363,https://www.aliexpress.com/,200,OK,Users: 1-9,text,TRUE,,43012,687,20,20,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,640,UTF-8,1,0,DESKTOP-2QTKDAK,0,455
1.70E+12,A,811,https://www.aliexpress.com/,200,OK,Users: 1-17,text,TRUE,,42975,687,21,21,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,642,UTF-8,1,0,DESKTOP-2QTKDAK,0,450
1.70E+12,A,767,https://www.aliexpress.com/,200,OK,Users: 1-18,text,TRUE,,42976,687,21,21,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,597,UTF-8,1,0,DESKTOP-2QTKDAK,0,414
1.70E+12,B,1884,https://www.aliexpress.com/,200,OK,Users: 1-13,text,TRUE,,42978,687,22,22,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,1350,UTF-8,1,0,DESKTOP-2QTKDAK,0,612
1.70E+12,A,925,https://www.aliexpress.com/,200,OK,Users: 1-19,text,TRUE,,42976,687,23,23,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,647,UTF-8,1,0,DESKTOP-2QTKDAK,0,462
1.70E+12,B,1071,https://www.aliexpress.com/,200,OK,Users: 1-22,text,TRUE,,43071,687,27,27,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,788,UTF-8,1,0,DESKTOP-2QTKDAK,0,487
1.70E+12,B,1381,https://www.aliexpress.com/,200,OK,Users: 1-21,text,TRUE,,42975,687,27,27,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,1343,UTF-8,1,0,DESKTOP-2QTKDAK,0,492
1.70E+12,B,1594,https://www.aliexpress.com/,200,OK,Users: 1-20,text,TRUE,,42975,687,28,28,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,1444,UTF-8,1,0,DESKTOP-2QTKDAK,0,420
1.70E+12,A,969,https://www.aliexpress.com/,200,OK,Users: 1-24,text,TRUE,,42763,687,28,28,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,757,UTF-8,1,0,DESKTOP-2QTKDAK,0,505
1.70E+12,B,1224,https://www.aliexpress.com/,200,OK,Users: 1-25,text,TRUE,,43032,687,31,31,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,649,UTF-8,1,0,DESKTOP-2QTKDAK,0,430
1.70E+12,B,1330,https://www.aliexpress.com/,200,OK,Users: 1-26,text,TRUE,,43031,687,32,32,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,1329,UTF-8,1,0,DESKTOP-2QTKDAK,0,589
1.70E+12,A,973,https://www.aliexpress.com/,200,OK,Users: 1-28,text,TRUE,,42975,687,32,32,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,966,UTF-8,1,0,DESKTOP-2QTKDAK,0,619
1.70E+12,B,1430,https://www.aliexpress.com/,200,OK,Users: 1-27,text,TRUE,,42975,687,34,34,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,1242,UTF-8,1,0,DESKTOP-2QTKDAK,0,650
1.70E+12,A,871,https://www.aliexpress.com/,200,OK,Users: 1-30,text,TRUE,,42977,687,34,34,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,707,UTF-8,1,0,DESKTOP-2QTKDAK,0,531
1.70E+12,B,2318,https://www.aliexpress.com/,200,OK,Users: 1-23,text,TRUE,,42976,687,34,34,https://www.aliexpress.com/p/calp-plus/index.html?spm=a2g0o.home.category.4.24ea2145Ycofrx&categoryTab=accessories,,1261,UTF-8,1,0,DESKTOP-2QTKDAK,0,1027
